
1,90011,109414,
2,90650,105886,
3,91331,105799,
4,90201,102433,
5,92335,99284,
6,90250,96836,
7,90805,96708,
8,92336,96575,
9,91342,96487,
10,90044,96436,
11,94565,96081,
12,90280,95103,
13,92503,94512,
14,92683,91376,
15,91710,90582,
16,92704,90340,
17,92804,88749,
18,91744,87240,
19,92376,87027,
20,92154,86811,
21,95076,86703,
22,91911,85365,
23,94112,85166,
24,93307,84809,
25,92592,84418,
26,93033,83782,
27,93722,83179,
28,93727,82920,
29,92126,82572,
30,92509,81214,
31,92345,80808,
32,91335,80524,
33,91709,79298,
34,95823,79272,
35,94544,79235,
36,95035,77562,
37,90706,77529,
38,91706,77342,
39,93550,77006,
40,95630,76973,
41,93257,76923,
42,92553,75830,
43,94533,75635,
44,90255,75560,
45,94587,74601,
46,92805,74413,
47,91910,74297,
48,94110,74161,
49,94536,73855,
50,93274,73778,
51,93306,73401,
52,93535,72948,
53,92105,72848,
54,90003,72741,
55,93536,72383,
56,91766,72332,
57,93065,72061,
58,92882,71581,
59,91730,71422,
60,92021,71321,
61,90262,70936,
62,91402,70686,
63,92703,70595,
64,92114,70039,
65,92880,69720,
66,90026,69589,
67,90631,69502,
68,92407,69222,
69,94558,69142,
70,92563,68128,
71,94538,68111,
72,95687,68069,
73,94080,67597,
74,95123,67186,
75,92801,67053,
76,94509,66933,
77,93230,66800,
78,91343,66590,
79,92677,66406,
80,90019,66245,
81,94541,66056,
82,90022,65890,
83,92115,65853,
84,95624,65742,
85,95127,65686,
86,92201,65347,
87,95747,65335,
88,93906,65256,
89,90037,65016,
90,94015,64887,
91,94806,64410,
92,92562,64116,
93,95206,64034,
94,90042,63911,
95,95758,63894,
96,95020,63852,
97,94501,63843,
98,91732,63572,
99,91770,63425,
100,91977,63393,
101,90660,63380,
102,92627,63212,
103,90640,63177,
104,94513,62991,
105,92647,62718,
106,91950,62639,
107,95014,62430,
108,95111,62392,
109,91702,62348,
110,94122,62131,
111,95608,61860,
112,90731,61850,
113,92346,61751,
114,90006,61698,
115,92780,61660,
116,90004,61586,
117,92630,61304,
118,92404,61216,
119,91761,61124,
120,95112,61060,
121,92707,61026,
122,92570,60944,
123,91762,60699,
124,93905,60408,
125,95828,60270,
126,93312,60238,
127,93030,59755,
128,92504,59556,
129,92324,59409,
130,90066,59394,
131,93309,59378,
132,95355,59028,
133,90813,59000,
134,90001,58975,
135,92020,58742,
136,93117,58431,
137,92057,58347,
138,92392,58204,
139,95051,58123,
140,93291,57968,
141,92507,57886,
142,95122,57780,
143,92071,57511,
144,92708,57416,
145,93458,57369,
146,94087,57219,
147,90744,57206,
148,90745,56821,
149,92027,56811,
150,94109,56677,
151,93063,56651,
152,92530,56511,
153,95116,56481,
154,92571,56446,
155,93436,56406,
156,92117,56173,
157,92646,55893,
158,90034,55652,
159,92113,55623,
160,91405,55384,
161,94591,55334,
162,92130,55316,
163,93215,55269,
164,91406,55215,
165,92840,55186,
166,92129,54986,
167,91745,54975,
168,91764,54825,
169,90723,54776,
